date,USA_cpi_value,USA_cpi_days_since_update,UK_cpi_value,UK_cpi_days_since_update,USA_cpi_yoy,USA_cpi_yoy_days_since_update,UK_cpi_yoy,UK_cpi_yoy_days_since_update,UK_cpi_yoy_log
2018-03-05,237.827,19.0,104.9,22,2.151318868063945,19.0,2.944062806673209,22.0,1.0797905344275218
2018-03-06,237.827,20.0,104.9,23,2.151318868063945,20.0,2.944062806673209,23.0,1.0797905344275218
2018-03-07,237.827,21.0,104.9,24,2.151318868063945,21.0,2.944062806673209,24.0,1.0797905344275218
2018-03-08,237.827,22.0,104.9,25,2.151318868063945,22.0,2.944062806673209,25.0,1.0797905344275218
2018-03-09,237.827,23.0,104.9,26,2.151318868063945,23.0,2.944062806673209,26.0,1.0797905344275218
2018-03-12,237.827,26.0,104.9,29,2.151318868063945,26.0,2.944062806673209,29.0,1.0797905344275218
2018-03-13,249.619,0.0,104.9,30,2.263468931091861,0.0,2.944062806673209,30.0,1.0797905344275218
2018-03-14,249.619,1.0,104.4,0,2.263468931091861,1.0,2.9585798816567976,0.0,1.084709383499116
2018-03-15,249.619,2.0,104.4,1,2.263468931091861,2.0,2.9585798816567976,1.0,1.084709383499116
2018-03-16,249.619,3.0,104.4,2,2.263468931091861,3.0,2.9585798816567976,2.0,1.084709383499116
2018-03-19,249.619,6.0,104.4,5,2.263468931091861,6.0,2.9585798816567976,5.0,1.084709383499116
2018-03-20,249.619,7.0,104.4,6,2.263468931091861,7.0,2.9585798816567976,6.0,1.084709383499116
2018-03-21,249.619,8.0,104.4,7,2.263468931091861,8.0,2.9585798816567976,7.0,1.084709383499116
2018-03-22,249.619,9.0,104.4,8,2.263468931091861,9.0,2.9585798816567976,8.0,1.084709383499116
2018-03-23,249.619,10.0,104.4,9,2.263468931091861,10.0,2.9585798816567976,9.0,1.084709383499116
2018-03-26,249.619,13.0,104.4,12,2.263468931091861,13.0,2.9585798816567976,12.0,1.084709383499116
