date,USA_central_bank_rate_value,USA_central_bank_rate_days_since_update,UK_central_bank_rate_value,UK_central_bank_rate_days_since_update,UK_central_bank_rate_value_sqrt,USA_central_bank_rate_value_sqrt
2022-04-05,0.33,0.0,0.1141,26.0,0.3377869150810907,0.5744562646538028
2022-04-06,0.33,0.0,0.1141,27.0,0.3377869150810907,0.5744562646538028
2022-04-07,0.33,0.0,0.1141,28.0,0.3377869150810907,0.5744562646538028
2022-04-08,0.33,0.0,0.1141,29.0,0.3377869150810907,0.5744562646538028
2022-04-11,0.33,0.0,0.1141,32.0,0.3377869150810907,0.5744562646538028
2022-04-12,0.33,0.0,0.1141,33.0,0.3377869150810907,0.5744562646538028
2022-04-13,0.33,0.0,0.1141,34.0,0.3377869150810907,0.5744562646538028
2022-04-14,0.33,0.0,0.5623,0.0,0.7498666548127073,0.5744562646538028
2022-04-15,0.33,0.0,0.5623,1.0,0.7498666548127073,0.5744562646538028
2022-04-18,0.33,0.0,0.5623,4.0,0.7498666548127073,0.5744562646538028
2022-04-19,0.33,0.0,0.5623,5.0,0.7498666548127073,0.5744562646538028
2022-04-20,0.33,0.0,0.5623,6.0,0.7498666548127073,0.5744562646538028
2022-04-21,0.33,0.0,0.5623,7.0,0.7498666548127073,0.5744562646538028
2022-04-22,0.33,0.0,0.5623,8.0,0.7498666548127073,0.5744562646538028
2022-04-25,0.33,0.0,0.5623,11.0,0.7498666548127073,0.5744562646538028
2022-04-26,0.33,0.0,0.5623,12.0,0.7498666548127073,0.5744562646538028
2022-04-27,0.33,0.0,0.5623,13.0,0.7498666548127073,0.5744562646538028
2022-04-28,0.33,0.0,0.5623,14.0,0.7498666548127073,0.5744562646538028
2022-04-29,0.33,0.0,0.5623,15.0,0.7498666548127073,0.5744562646538028
2022-05-02,0.33,0.0,0.5623,18.0,0.7498666548127073,0.5744562646538028
2022-05-03,0.33,0.0,0.5623,19.0,0.7498666548127073,0.5744562646538028
2022-05-04,0.33,0.0,0.5623,20.0,0.7498666548127073,0.5744562646538028
2022-05-05,0.33,0.0,0.5623,21.0,0.7498666548127073,0.5744562646538028
2022-05-06,0.83,0.0,0.5623,22.0,0.7498666548127073,0.9110433579144299
2022-05-09,0.83,0.0,0.5623,25.0,0.7498666548127073,0.9110433579144299
2022-05-10,0.83,0.0,0.5623,26.0,0.7498666548127073,0.9110433579144299
2022-05-11,0.83,0.0,0.5623,27.0,0.7498666548127073,0.9110433579144299
2022-05-12,0.83,0.0,0.5623,28.0,0.7498666548127073,0.9110433579144299
2022-05-13,0.83,0.0,0.5623,29.0,0.7498666548127073,0.9110433579144299
2022-05-16,0.83,0.0,0.5623,32.0,0.7498666548127073,0.9110433579144299
2022-05-17,0.83,0.0,0.5623,33.0,0.7498666548127073,0.9110433579144299
2022-05-18,0.83,0.0,0.5623,34.0,0.7498666548127073,0.9110433579144299
2022-05-19,0.83,0.0,0.5623,35.0,0.7498666548127073,0.9110433579144299
2022-05-20,0.83,0.0,0.5623,36.0,0.7498666548127073,0.9110433579144299
2022-05-23,0.83,0.0,0.5623,39.0,0.7498666548127073,0.9110433579144299
2022-05-24,0.83,0.0,0.5623,40.0,0.7498666548127073,0.9110433579144299
2022-05-25,0.83,0.0,0.5623,41.0,0.7498666548127073,0.9110433579144299
2022-05-26,0.83,0.0,0.5623,42.0,0.7498666548127073,0.9110433579144299
2022-05-27,0.83,0.0,0.5623,43.0,0.7498666548127073,0.9110433579144299
2022-05-30,0.83,3.0,0.5623,46.0,0.7498666548127073,0.9110433579144299
2022-05-31,0.83,0.0,0.5623,47.0,0.7498666548127073,0.9110433579144299
2022-06-01,0.83,0.0,0.5623,48.0,0.7498666548127073,0.9110433579144299
2022-06-02,0.83,0.0,0.5623,49.0,0.7498666548127073,0.9110433579144299
2022-06-03,0.83,0.0,0.5623,50.0,0.7498666548127073,0.9110433579144299
2022-06-06,0.83,0.0,0.5623,53.0,0.7498666548127073,0.9110433579144299
2022-06-07,0.83,0.0,0.5623,54.0,0.7498666548127073,0.9110433579144299
2022-06-08,0.83,0.0,0.5623,55.0,0.7498666548127073,0.9110433579144299
